681	Kuki-Chin languages
682	Karenic languages
683	S'gaw Karen
684	Karenic languages, n.i.e.
685	Tibetan
686	Tibeto-Burman languages, n.i.e.
687	Sino-Tibetan languages, n.i.e.
688	Tai-Kadai languages
689	Lao
690	Thai
691	Tai-Kadai languages, n.i.e.
692	Turkic languages
693	Azerbaijani
694	Kazakh
695	Turkish
696	Uyghur
697	Uzbek
698	Turkic languages, n.i.e.
699	Uralic languages
700	Estonian
701	Finnish
702	Hungarian
703	Other languages, n.i.e.
704	Multiple responses
705	English and French
706	English and non-official language(s)
707	French and non-official language(s)
708	English, French and non-official language(s)
709	Multiple non-official languages
710	Total - All languages spoken at home for the total population excluding institutional residents - 100% data
711	English
712	French
713	Non-official language
714	Indigenous
715	Non-Indigenous
716	English and French
717	English and non-official language(s)
718	French and non-official language(s)
719	English, French and non-official language(s)
720	Multiple non-official languages
721	Total - Language spoken most often at home for the total population excluding institutional residents - 100% data
722	Single responses
723	Official languages
724	English
725	French
726	Non-official languages
727	Indigenous languages
728	Algonquian languages
729	Blackfoot
730	Cree-Innu languages
731	Atikamekw
732	Cree languages
733	Ililimowin (Moose Cree)
734	Inu Ayimun (Southern East Cree)
735	Iyiyiw-Ayimiwin (Northern East Cree)
736	Nehinawewin (Swampy Cree)
737	Nehiyawewin (Plains Cree)
738	Nihithawiwin (Woods Cree)
739	Cree, n.o.s.
740	Innu (Montagnais)
741	Naskapi
742	Eastern Algonquian languages
743	Mi'kmaq
744	Wolastoqewi (Malecite)
745	Ojibway-Potawatomi languages
746	Anicinabemowin (Algonquin)
747	Oji-Cree
748	Ojibway languages
749	Anishinaabemowin (Chippewa)
750	Daawaamwin (Odawa)
751	Saulteau (Western Ojibway)
752	Ojibway, n.o.s.
753	Algonquian languages, n.i.e.
754	Athabaskan languages
755	Northern Athabaskan languages
756	Dakelh (Carrier)
757	Dane-zaa (Beaver)
758	Dene, n.o.s.
759	Gwich'in
760	Slavey-Hare languages
761	Deh Gah Ghotie Zhatie (South Slavey)
762	Satuotine Yati (North Slavey)
763	Slavey, n.o.s.
764	Tahltan languages
765	Kaska (Nahani)
766	Tahltan
767	Tlicho (Dogrib)
768	Tse'khene (Sekani)
769	Tsilhqot'in (Chilcotin)
770	Tsuu T'ina (Sarsi)
771	Tutchone languages
772	Northern Tutchone
773	Southern Tutchone
774	Tutchone, n.o.s.
775	Wetsuwet'en-Babine
776	Tlingit
777	Athabaskan languages, n.i.e.
778	Haida
779	Inuktut (Inuit) languages
780	Inuinnaqtun (Inuvialuktun)
781	Inuinnaqtun
782	Inuvialuktun
783	Inuktitut
784	Inuktut (Inuit) languages, n.i.e.
785	Iroquoian languages
786	Cayuga
787	Mohawk
788	Oneida
789	Iroquoian languages, n.i.e.
790	Ktunaxa (Kutenai)
791	Michif
792	Salish languages
793	Halkomelem
794	Lillooet
795	Ntlakapamux (Thompson)
796	Secwepemctsin (Shuswap)
797	Squamish
798	Straits
799	Syilx (Okanagan)
800	Salish languages, n.i.e.
801	Siouan languages
802	Assiniboine
803	Dakota
804	Stoney
805	Siouan languages, n.i.e.
806	Tsimshian languages
807	Gitxsan (Gitksan)
808	Nisga'a
809	Tsimshian
810	Wakashan languages
811	Haisla
812	Heiltsuk
813	Kwak'wala (Kwakiutl)
814	Nuu-chah-nulth (Nootka)
815	Wakashan languages, n.i.e.
816	Indigenous languages, n.i.e.
817	Indigenous languages, n.o.s.
818	Non-Indigenous languages
819	Afro-Asiatic languages
820	Berber languages
821	Kabyle
822	Tamazight
823	Berber languages, n.i.e.
824	Chadic languages
825	Hausa
826	Mina
827	Coptic
828	Cushitic languages
829	Bilen
830	Oromo
831	Somali
832	Cushitic languages, n.i.e.
833	Semitic languages
834	Amharic
835	Arabic
836	Aramaic languages
837	Assyrian Neo-Aramaic
838	Chaldean Neo-Aramaic
839	Aramaic, n.o.s.
840	Harari
841	Hebrew
842	Maltese
843	Tigrigna
844	Semitic languages, n.i.e.
845	Austro-Asiatic languages
846	Khmer (Cambodian)
847	Vietnamese
848	Austro-Asiatic languages, n.i.e
849	Austronesian languages
850	Bikol
851	Bisaya, n.o.s.
852	Cebuano
853	Fijian
854	Hiligaynon
855	Ilocano
856	Indonesian
857	Kankanaey
858	Kinaray-a
859	Malagasy languages
860	Merina
861	Malagasy, n.o.s.
862	Malay
863	Pampangan (Kapampangan, Pampango)
864	Pangasinan
865	Tagalog (Pilipino, Filipino)
866	Waray-Waray
867	Austronesian languages, n.i.e.
868	Creole languages
869	Haitian Creole
870	Jamaican English Creole
871	Krio
872	Morisyen
873	Sango
874	Creole, n.o.s.
875	Creole languages, n.i.e.
876	Dravidian languages
877	Kannada
878	Malayalam
879	Tamil
880	Telugu
881	Tulu
882	Dravidian languages, n.i.e.
883	Georgian
884	Hmong-Mien languages
885	Indo-European languages
886	Albanian
887	Armenian
888	Balto-Slavic languages
889	Baltic languages
890	Latvian
891	Lithuanian
892	Slavic languages
893	Belarusian
894	Bulgarian
895	Czech
896	Macedonian
897	Polish
898	Russian
899	Rusyn
900	Serbo-Croatian
901	Bosnian
902	Croatian
903	Serbian
904	Serbo-Croatian, n.i.e.
905	Slovak
906	Slovene (Slovenian)
907	Ukrainian
908	Slavic languages, n.i.e.
909	Celtic languages
910	Irish
911	Scottish Gaelic
912	Welsh
913	Celtic languages, n.i.e.
914	Germanic languages
915	Frisian
916	High German languages
917	German
918	Pennsylvania German
919	Swiss German
920	Yiddish
921	Low Saxon-Low Franconian languages
922	Afrikaans
923	Dutch
924	Low German, n.o.s.
925	Low Saxon
926	Plautdietsch
927	Vlaams (Flemish)
928	Scandinavian languages
929	Danish
930	Icelandic
931	Norwegian
932	Swedish
933	Germanic languages, n.i.e.
934	Greek
935	Indo-Iranian languages
936	Indo-Aryan languages
937	Assamese
938	Bengali
939	Gujarati
940	Hindi
941	Kacchi
942	Kashmiri
943	Konkani
944	Marathi
945	Nepali
946	Oriya languages
947	Odia
948	Oriya, n.o.s.
949	Punjabi (Panjabi)
950	Rohingya
951	Sindhi
952	Sinhala (Sinhalese)
953	Urdu
954	Indo-Aryan languages, n.i.e.
955	Iranian languages
956	Baluchi
957	Kurdish
958	Parsi
959	Pashto
960	Persian languages
961	Dari
962	Iranian Persian
963	Persian (Farsi), n.o.s.
964	Iranian languages, n.i.e.
965	Indo-Iranian languages, n.i.e.
966	Italic (Romance) languages
967	Catalan
968	Italian
969	Portuguese
970	Romanian
971	Spanish
972	Italic (Romance) languages, n.i.e.
973	Indo-European languages, n.i.e.
974	Japanese
975	Korean
976	Mongolian
977	Niger-Congo languages
978	Akan (Twi)
979	Bamanankan
980	Edo
981	Éwé
982	Fulah (Pular, Pulaar, Fulfulde)
983	Ga
984	Ganda
985	Gikuyu
